x,y,shapeID,colorNum,color
7663,14079,0,0,Black
7670,14079,0,0,Black
7671,14080,0,0,Black
7672,14080,0,0,Black
7673,14079,0,0,Black
7678,14079,0,0,Black
7679,14080,0,0,Black
7680,14079,0,0,Black
7685,14079,0,0,Black
7686,14080,0,0,Black
7687,14079,0,0,Black
7694,14079,0,0,Black
7695,14080,0,0,Black
7696,14079,0,0,Black
7701,14079,0,0,Black
7702,14080,0,0,Black
7703,14079,0,0,Black
7710,14079,0,0,Black
7711,14080,0,0,Black
7712,14079,0,0,Black
7717,14079,0,0,Black
7718,14080,0,0,Black
7719,14079,0,0,Black
7726,14079,0,0,Black
7727,14080,0,0,Black
7728,14079,0,0,Black
7733,14079,0,0,Black
7734,14080,0,0,Black
7735,14079,0,0,Black
7742,14079,0,0,Black
7743,14080,0,0,Black
7744,14079,0,0,Black
7749,14079,0,0,Black
7750,14080,0,0,Black
7751,14079,0,0,Black
7758,14079,0,0,Black
7759,14080,0,0,Black
7760,14079,0,0,Black
7765,14079,0,0,Black
7766,14080,0,0,Black
7767,14079,0,0,Black
7774,14079,0,0,Black
7775,14080,0,0,Black
7776,14079,0,0,Black
7781,14079,0,0,Black
7782,14080,0,0,Black
7783,14079,0,0,Black
7790,14079,0,0,Black
7791,14080,0,0,Black
7792,14079,0,0,Black
7797,14079,0,0,Black
7798,14080,0,0,Black
7799,14079,0,0,Black
7806,14079,0,0,Black
7807,14080,0,0,Black
7808,14079,0,0,Black
7813,14079,0,0,Black
7814,14080,0,0,Black
7815,14079,0,0,Black
7822,14079,0,0,Black
7823,14080,0,0,Black
7824,14079,0,0,Black
7829,14079,0,0,Black
7830,14080,0,0,Black
7831,14079,0,0,Black
7838,14079,0,0,Black
7839,14080,0,0,Black
7840,14079,0,0,Black
7845,14079,0,0,Black
7846,14080,0,0,Black
7847,14079,0,0,Black
7854,14079,0,0,Black
7855,14080,0,0,Black
7856,14079,0,0,Black
7857,14080,0,0,Black
7860,14080,0,0,Black
7861,14079,0,0,Black
7862,14079,0,0,Black
7863,14080,0,0,Black
7864,14079,0,0,Black
7865,14079,0,0,Black
7866,14080,0,0,Black
7867,14079,0,0,Black
7868,14079,0,0,Black
7869,14080,0,0,Black
7870,14079,0,0,Black
7871,14079,0,0,Black
7871,14050,0,0,Black
7872,14049,0,0,Black
7871,14048,0,0,Black
7870,14048,0,0,Black
7869,14047,0,0,Black
7869,14045,0,0,Black
7870,14044,0,0,Black
7868,14042,0,0,Black
7868,14040,0,0,Black
7869,14039,0,0,Black
7868,14038,0,0,Black
7868,14035,0,0,Black
7872,14031,0,0,Black
7999,14031,0,0,Black
7999,14000,0,0,Black
7997,14000,0,0,Black
7996,13999,0,0,Black
7996,13998,0,0,Black
7997,13997,0,0,Black
7997,13996,0,0,Black
7998,13995,0,0,Black
7999,13995,0,0,Black
7999,13988,0,0,Black
7998,13988,0,0,Black
7997,13987,0,0,Black
7997,13986,0,0,Black
7996,13985,0,0,Black
7996,13984,0,0,Black
7997,13983,0,0,Black
8003,13983,0,0,Black
8004,13984,0,0,Black
8004,13986,0,0,Black
8004,13984,0,0,Black
8005,13983,0,0,Black
8045,13983,0,0,Black
8045,13952,0,0,Black
8044,13951,0,0,Black
8044,13945,0,0,Black
8045,13944,0,0,Black
8045,13943,0,0,Black
8047,13941,0,0,Black
8046,13940,0,0,Black
8047,13939,0,0,Black
8047,13938,0,0,Black
8045,13938,0,0,Black
8044,13937,0,0,Black
8044,13936,0,0,Black
8045,13935,0,0,Black
8052,13935,0,0,Black
8053,13936,0,0,Black
8054,13935,0,0,Black
8061,13935,0,0,Black
8062,13936,0,0,Black
8062,13937,0,0,Black
8064,13935,0,0,Black
8065,13936,0,0,Black
8066,13936,0,0,Black
8067,13935,0,0,Black
8068,13936,0,0,Black
8069,13936,0,0,Black
8070,13935,0,0,Black
8071,13935,0,0,Black
8072,13936,0,0,Black
8074,13936,0,0,Black
8075,13935,0,0,Black
8076,13935,0,0,Black
8077,13936,0,0,Black
8079,13936,0,0,Black
8080,13935,0,0,Black
8083,13935,0,0,Black
8084,13936,0,0,Black
8085,13936,0,0,Black
8086,13935,0,0,Black
8088,13935,0,0,Black
8089,13936,0,0,Black
8090,13935,0,0,Black
8091,13935,0,0,Black
8092,13936,0,0,Black
8094,13936,0,0,Black
8093,13935,0,0,Black
8093,13824,0,0,Black
8059,13824,0,0,Black
8058,13823,0,0,Black
8057,13824,0,0,Black
8048,13824,0,0,Black
8047,13823,0,0,Black
8047,13822,0,0,Black
8046,13822,0,0,Black
8044,13820,0,0,Black
8044,13819,0,0,Black
8046,13817,0,0,Black
8047,13817,0,0,Black
8047,13814,0,0,Black
8046,13814,0,0,Black
8044,13812,0,0,Black
8044,13811,0,0,Black
8046,13809,0,0,Black
8047,13809,0,0,Black
8047,13808,0,0,Black
8046,13808,0,0,Black
8045,13807,0,0,Black
8045,13790,0,0,Black
8046,13789,0,0,Black
8046,13787,0,0,Black
8045,13786,0,0,Black
8045,13779,0,0,Black
8043,13777,0,0,Black
8043,13776,0,0,Black
8042,13777,0,0,Black
8042,13778,0,0,Black
8041,13779,0,0,Black
8040,13779,0,0,Black
8039,13778,0,0,Black
8039,13776,0,0,Black
8038,13776,0,0,Black
8038,13777,0,0,Black
8036,13779,0,0,Black
8034,13777,0,0,Black
8034,13776,0,0,Black
8033,13777,0,0,Black
8033,13778,0,0,Black
8032,13779,0,0,Black
8031,13778,0,0,Black
8031,13776,0,0,Black
8031,13778,0,0,Black
8029,13780,0,0,Black
8028,13779,0,0,Black
8028,13777,0,0,Black
8027,13776,0,0,Black
8026,13776,0,0,Black
8026,13778,0,0,Black
8025,13779,0,0,Black
8024,13779,0,0,Black
8023,13778,0,0,Black
8023,13776,0,0,Black
8022,13776,0,0,Black
8022,13777,0,0,Black
8020,13779,0,0,Black
8019,13778,0,0,Black
8019,13777,0,0,Black
8018,13776,0,0,Black
8018,13780,0,0,Black
8017,13781,0,0,Black
8017,13783,0,0,Black
8018,13784,0,0,Black
8018,13807,0,0,Black
8019,13808,0,0,Black
8019,13813,0,0,Black
8018,13814,0,0,Black
8018,13815,0,0,Black
8016,13817,0,0,Black
8017,13817,0,0,Black
8019,13819,0,0,Black
8019,13820,0,0,Black
8017,13822,0,0,Black
8016,13822,0,0,Black
8016,13826,0,0,Black
8015,13827,0,0,Black
8013,13825,0,0,Black
8013,13824,0,0,Black
8011,13824,0,0,Black
8010,13823,0,0,Black
8010,13825,0,0,Black
8008,13827,0,0,Black
8007,13827,0,0,Black
8005,13825,0,0,Black
8005,13824,0,0,Black
8002,13824,0,0,Black
8002,13825,0,0,Black
8000,13827,0,0,Black
7999,13826,0,0,Black
7999,13824,0,0,Black
7836,13824,0,0,Black
7836,13825,0,0,Black
7834,13827,0,0,Black
7829,13827,0,0,Black
7827,13825,0,0,Black
7827,13824,0,0,Black
7821,13824,0,0,Black
7820,13823,0,0,Black
7820,13822,0,0,Black
7821,13821,0,0,Black
7822,13821,0,0,Black
7823,13820,0,0,Black
7823,13818,0,0,Black
7821,13816,0,0,Black
7821,13814,0,0,Black
7820,13813,0,0,Black
7820,13811,0,0,Black
7822,13809,0,0,Black
7823,13809,0,0,Black
7823,13776,0,0,Black
7823,13777,0,0,Black
7821,13779,0,0,Black
7819,13777,0,0,Black
7819,13776,0,0,Black
7818,13777,0,0,Black
7818,13778,0,0,Black
7817,13779,0,0,Black
7815,13777,0,0,Black
7815,13776,0,0,Black
7814,13776,0,0,Black
7814,13777,0,0,Black
7812,13779,0,0,Black
7810,13777,0,0,Black
7810,13776,0,0,Black
7808,13778,0,0,Black
7807,13777,0,0,Black
7807,13776,0,0,Black
7807,13778,0,0,Black
7806,13779,0,0,Black
7805,13779,0,0,Black
7803,13777,0,0,Black
7803,13776,0,0,Black
7802,13777,0,0,Black
7802,13778,0,0,Black
7801,13779,0,0,Black
7800,13779,0,0,Black
7799,13778,0,0,Black
7799,13776,0,0,Black
7798,13776,0,0,Black
7798,13777,0,0,Black
7796,13779,0,0,Black
7794,13777,0,0,Black
7794,13776,0,0,Black
7793,13776,0,0,Black
7793,13778,0,0,Black
7792,13779,0,0,Black
7791,13778,0,0,Black
7791,13776,0,0,Black
7791,13778,0,0,Black
7790,13779,0,0,Black
7789,13779,0,0,Black
7787,13777,0,0,Black
7787,13776,0,0,Black
7786,13777,0,0,Black
7786,13778,0,0,Black
7785,13779,0,0,Black
7784,13779,0,0,Black
7783,13778,0,0,Black
7783,13776,0,0,Black
7782,13776,0,0,Black
7782,13777,0,0,Black
7780,13779,0,0,Black
7778,13777,0,0,Black
7778,13776,0,0,Black
7777,13776,0,0,Black
7777,13778,0,0,Black
7776,13779,0,0,Black
7775,13778,0,0,Black
7775,13776,0,0,Black
7775,13778,0,0,Black
7774,13779,0,0,Black
7773,13779,0,0,Black
7771,13777,0,0,Black
7771,13776,0,0,Black
7770,13777,0,0,Black
7770,13778,0,0,Black
7769,13779,0,0,Black
7768,13779,0,0,Black
7767,13778,0,0,Black
7767,13776,0,0,Black
7766,13776,0,0,Black
7766,13777,0,0,Black
