x,y,shapeID,colorNum,classification,color
12235,17104,5,0,,Black
12234,17072,5,0,,Black
12233,17103,5,0,,Black
12229,17103,5,0,,Black
12227,17072,5,0,,Black
12227,17103,5,0,,Black
12224,17104,5,0,,Black
12223,17072,5,0,,Black
12208,17072,5,0,,Black
12207,17104,5,0,,Black
12160,17104,5,0,,Black
12159,17152,5,0,,Black
12112,17152,5,0,,Black
12112,17247,5,0,,Black
12032,17248,5,0,,Black
12031,17328,5,0,,Black
12026,17327,5,0,,Black
12027,17246,5,0,,Black
12025,17328,5,0,,Black
12022,17327,5,0,,Black
12021,17248,5,0,,Black
12020,17328,5,0,,Black
11840,17328,5,0,,Black
11839,17376,5,0,,Black
11488,17376,5,0,,Black
11487,17424,5,0,,Black
10816,17424,5,0,,Black
10816,17464,5,0,,Black
10812,17465,5,0,,Black
10807,17456,5,0,,Black
10806,17462,5,0,,Black
10800,17465,5,0,,Black
10802,17472,5,0,,Black
10384,17472,5,0,,Black
10383,17424,5,0,,Black
10335,17423,5,0,,Black
10335,17376,5,0,,Black
10032,17376,5,0,,Black
10031,17328,5,0,,Black
9935,17327,5,0,,Black
9935,17200,5,0,,Black
9888,17200,5,0,,Black
9887,17152,5,0,,Black
9712,17152,5,0,,Black
9711,17104,5,0,,Black
9664,17104,5,0,,Black
9663,17072,5,0,,Black
9504,17072,5,0,,Black
9503,17104,5,0,,Black
9456,17104,5,0,,Black
9455,17152,5,0,,Black
9408,17152,5,0,,Black
9407,17200,5,0,,Black
9356,17200,5,0,,Black
9355,17197,5,0,,Black
9359,17195,5,0,,Black
9353,17189,5,0,,Black
9351,17193,5,0,,Black
9344,17194,5,0,,Black
9343,17152,5,0,,Black
9311,17151,5,0,,Black
9311,17104,5,0,,Black
9280,17104,5,0,,Black
9280,17151,5,0,,Black
9232,17152,5,0,,Black
9231,17200,5,0,,Black
9180,17200,5,0,,Black
9180,17312,5,0,,Black
9184,17312,5,0,,Black
9184,17375,5,0,,Black
9152,17376,5,0,,Black
9151,17417,5,0,,Black
9145,17414,5,0,,Black
9142,17407,5,0,,Black
9141,17376,5,0,,Black
9143,17412,5,0,,Black
9134,17419,5,0,,Black
9139,17423,5,0,,Black
9104,17424,5,0,,Black
9104,17471,5,0,,Black
8944,17472,5,0,,Black
8943,17376,5,0,,Black
8895,17375,5,0,,Black
8895,17248,5,0,,Black
8863,17247,5,0,,Black
8863,17232,5,0,,Black
8858,17231,5,0,,Black
8858,17200,5,0,,Black
8857,17231,5,0,,Black
8853,17231,5,0,,Black
8851,17200,5,0,,Black
8851,17231,5,0,,Black
8848,17232,5,0,,Black
8847,17200,5,0,,Black
8815,17199,5,0,,Black
8815,17152,5,0,,Black
8736,17152,5,0,,Black
8736,17199,5,0,,Black
8688,17200,5,0,,Black
8688,17407,5,0,,Black
8736,17408,5,0,,Black
8736,17639,5,0,,Black
8774,17639,5,0,,Black
8775,17593,5,0,,Black
9448,17594,5,0,,Black
9448,17505,5,0,,Black
9493,17504,5,0,,Black
9495,17458,5,0,,Black
9629,17458,5,0,,Black
9631,17504,5,0,,Black
9764,17503,5,0,,Black
9765,17548,5,0,,Black
9809,17548,5,0,,Black
9812,17594,5,0,,Black
12193,17594,5,0,,Black
12195,17548,5,0,,Black
12283,17549,5,0,,Black
12285,17503,5,0,,Black
12374,17503,5,0,,Black
12376,17549,5,0,,Black
12508,17549,5,0,,Black
12508,17460,5,0,,Black
12553,17459,5,0,,Black
12555,17413,5,0,,Black
13138,17414,5,0,,Black
13140,17368,5,0,,Black
13273,17369,5,0,,Black
13275,17323,5,0,,Black
13319,17324,5,0,,Black
13319,17235,5,0,,Black
13408,17234,5,0,,Black
13408,17190,5,0,,Black
13453,17189,5,0,,Black
13453,17145,5,0,,Black
13498,17144,5,0,,Black
13500,17098,5,0,,Black
13723,17099,5,0,,Black
13725,17053,5,0,,Black
13813,17054,5,0,,Black
13813,17010,5,0,,Black
13858,17009,5,0,,Black
13860,16963,5,0,,Black
13904,16963,5,0,,Black
13904,16874,5,0,,Black
13949,16873,5,0,,Black
13950,16828,5,0,,Black
14039,16829,5,0,,Black
14039,16785,5,0,,Black
14083,16784,5,0,,Black
14084,16752,5,0,,Black
13984,16752,5,0,,Black
13983,16704,5,0,,Black
13760,16704,5,0,,Black
13759,16656,5,0,,Black
13711,16655,5,0,,Black
13711,16608,5,0,,Black
13666,16608,5,0,,Black
13663,16576,5,0,,Black
13584,16576,5,0,,Black
13583,16568,5,0,,Black
13587,16567,5,0,,Black
13583,16566,5,0,,Black
13583,16528,5,0,,Black
13536,16528,5,0,,Black
13535,16480,5,0,,Black
13487,16479,5,0,,Black
13487,16352,5,0,,Black
13455,16351,5,0,,Black
13456,16344,5,0,,Black
13487,16344,5,0,,Black
13456,16344,5,0,,Black
13455,16336,5,0,,Black
13439,16335,5,0,,Black
13439,16192,5,0,,Black
13487,16191,5,0,,Black
13487,16096,5,0,,Black
13535,16095,5,0,,Black
13535,16032,5,0,,Black
13487,16031,5,0,,Black
13487,15856,5,0,,Black
13456,15856,5,0,,Black
13455,15840,5,0,,Black
13439,15839,5,0,,Black
13439,15660,5,0,,Black
13363,15659,5,0,,Black
13363,15615,5,0,,Black
13408,15614,5,0,,Black
13408,15570,5,0,,Black
13439,15569,5,0,,Black
13439,15488,5,0,,Black
13407,15487,5,0,,Black
13407,15440,5,0,,Black
13359,15439,5,0,,Black
13359,15296,5,0,,Black
13407,15295,5,0,,Black
13407,15024,5,0,,Black
13439,15023,5,0,,Black
13439,14985,5,0,,Black
13365,14986,5,0,,Black
13363,14940,5,0,,Black
13439,14939,5,0,,Black
13439,14895,5,0,,Black
13408,14894,5,0,,Black
13408,14850,5,0,,Black
13365,14852,5,0,,Black
13363,14849,5,0,,Black
13363,14715,5,0,,Black
13407,14714,5,0,,Black
13407,14672,5,0,,Black
13360,14672,5,0,,Black
13359,14640,5,0,,Black
13264,14640,5,0,,Black
13263,14592,5,0,,Black
